BOTTLE,20170219PRINUNIVRMK
# 06/23/2016 Initialized README file   
# Data source:NOAA/PMEL  
# SHIPS: Leg 1: R/V Fairweather; for the second leg of this project  
# 	see the R/V Point Sur cruise 32PO20130829 
# Cruise: WCOA2013 Leg 1 
# Region: US West Coast, Pacific Ocean  
# EXPOCODE: 317W20130803  
# DATES: 20130803 - 20130810 
# Chief Scientist: Richard Feely. Lauren W. Juranek 
# 41 stations with 24 place Rosette  
# Hydro: Who - G. Johnson; Status - final  
# 	Notes: 	 
# Nutrients: Who - B. Hales; Status - final  
# 	Notes:  includes ammonium 
# O2: Who - B. Hales; Status -final  
# 	Notes:  
# TCO2: Who - R.Feely; Status - final  
# 	Notes:  
# TA: Who - S. Alin; Status - final  
# 	Notes: 
# pH: Who -R. Byrne; Status - final 
# 	Notes: total scale at 25C 
# CO3-2: Who -R. Byrne; Status - final 
# 	Notes: Values measured 
# Other: Chlorophyll- W. Peterson;  
# References:  
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CO32,CO32_FLAG_W,CHLORA,CHLORA_FLAG_W
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,UG/KG,
  317W20130803,WCOA13,    11,  1,      1,2,  130805,0212, 48.2000,-126.6100, 1200,    999.5,   3.6883,  34.3800,2,  34.3804,6,     12.4,2,   -999.0,9,   120.71,2,    43.25,2,     0.02,2,     3.21,2,     0.38,2,   2370.2,2,   2369.0,2,   7.2935,2,    25.00,     -999,9,  -999.00,9
  317W20130803,WCOA13,    11,  1,      2,2,  130805,0212, 48.2000,-126.6100, 1200,   1000.8,   3.6902,  34.3790,2,-999.0000,9,     12.4,2,   -999.0,9,   122.74,2,    43.24,2,     0.02,2,     3.17,2,     0.27,2,   -999.0,9,   -999.0,9,   7.2949,2,    25.00,     -999,9,  -999.00,9
  317W20130803,WCOA13,    11,  1,      3,2,  130805,0219, 48.2000,-126.6100, 1200,    749.0,   4.3662,  34.2710,2,  34.3794,4,     13.2,2,   -999.0,9,   102.24,2,    42.48,2,     0.02,2,     3.15,2,     0.17,2,   2349.6,2,   2343.7,2,   7.2821,2,    25.00,   43.521,3,  -999.00,9
  317W20130803,WCOA13,    11,  1,      4,2,  130805,0227, 48.2000,-126.6100, 1200,    503.9,   5.0296,  34.1180,2,-999.0000,9,     28.8,2,   -999.0,9,    82.07,2,    40.90,2,     0.02,2,     2.97,2,     0.13,2,   2318.7,2,   2311.9,2,   7.2869,2,    25.00,   45.641,2,  -999.00,9
  317W20130803,WCOA13,    11,  1,      5,2,  130805,0230, 48.2000,-126.6100, 1200,    403.9,   5.4578,  34.0620,2,-999.0000,9,     40.4,2,   -999.0,5,    72.24,2,    39.55,2,     0.01,2,     2.89,2,     0.16,2,   2300.0,2,   2299.7,2,   7.3080,2,    25.00,   47.741,2,  -999.00,9
  317W20130803,WCOA13,    11,  1,      6,2,  130805,0234, 48.2000,-126.6100, 1200,    306.4,   6.0649,  34.0010,2,-999.0000,9,     63.0,2,   -999.0,9,    60.91,2,    36.85,2,     0.01,2,     2.67,2,     0.14,2,   2271.7,2,   2284.9,2,   7.3483,2,    25.00,   50.712,2,  -999.00,9
  317W20130803,WCOA13,    11,  1,      7,2,  130805,0238, 48.2000,-126.6100, 1200,    197.8,   6.7236,  33.9040,2,-999.0000,9,    149.1,2,   -999.0,5,    46.06,2,    29.97,2,     0.03,2,     2.19,2,     0.23,2,   2212.9,2,   2268.9,2,   7.4835,2,    25.00,   67.397,3,  -999.00,9
  317W20130803,WCOA13,    11,  1,      8,2,  130805,0240, 48.2000,-126.6100, 1200,    153.7,   7.2050,  33.8170,2,-999.0000,9,    124.4,2,   -999.0,9,    40.90,2,    29.14,2,     0.03,2,     2.20,2,     0.22,2,   2207.3,2,   2257.0,2,   7.4683,2,    25.00,   64.897,2,  -999.00,9
  317W20130803,WCOA13,    11,  1,      9,2,  130805,0242, 48.2000,-126.6100, 1200,    128.5,   7.3828,  33.6700,2,-999.0000,9,    155.6,2,   -999.0,5,    34.07,2,    26.21,2,     0.03,2,     1.98,2,     0.11,2,   2177.1,2,   2247.0,2,   7.5250,2,    25.00,   70.014,2,  -999.00,9
